Average_Rating,Brand,Date,Express,Get_It_BY,Link,Name,Price,Rating_count,Sale_price,Sponsered
5.0,TYCOM,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/tycom-resistance-loop-bands-resistance-exercise-bands-set-workout-bands-flex-bands-for-home-fitness-stretching-strength-training-physical-therapy-yoga/ZE5D7520215AA49D4ED49Z/p/?o=ze5d7520215aa49d4ed49z-1,"TYCOM Tycom Resistance Loop Bands- Resistance Exercise Bands Set Workout Bands Flex bands for Home Fitness, Stretching, Strength Training, Physical Therapy, Yoga ",28.90,1, 49,Y
,MELA,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/mela-non-slip-yoga-mat-for-home-gym-6mm-thick-eco-friendly-tpe-cushioned-exercise-mat-with-carry-strap-perfect-for-yoga-pilates-fitness-training-gymnastics-essentials-beige/ZECB29782C8C4BD506B8EZ/p/?o=zecb29782c8c4bd506b8ez-1,"MELA MELA Non-Slip Yoga Mat for Home Gym - 6mm Thick, Eco-Friendly TPE, Cushioned Exercise Mat with Carry Strap - Perfect for Yoga, Pilates, Fitness Training, & Gymnastics Essentials  - Beige ",79,, 119,Y
,Generic,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/5-pieces-sports-wicking-instant-dry-cooling-towel/ZD47F076F0E799BD13A58Z/p/?o=zd47f076f0e799bd13a58z-1,Generic 5 Pieces Sports Wicking Instant Dry Cooling Towel ,30.50,, 59.95,Y
4.8,Bernessi,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color ",69.90,51, 165,
4.1,Fitness,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/anti-slip-yoga-mat-with-carry-strap/N27330175A/p/?o=c04795b40495c95d,Fitness World Anti-Slip Yoga Mat With Carry Strap ,35,213,,
5.0,Maston,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/yoga-pilates-ring-fitness-magic-circle-wrap-slimming-body-building-fitness-accessories-foamroller/Z532ED4BF3B873929AEF6Z/p/?o=z532ed4bf3b873929aef6z-1,Maston Yoga Pilates Ring Fitness Magic Circle Wrap Slimming Body Building Fitness Accessories foamroller ,35,1, 39,Y
5.0,Generic,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/extra-thick-high-density-anti-tear-exercise-yoga-mat/Z6AA422C01041A12BF086Z/p/?o=z6aa422c01041a12bf086z-1,Generic Extra Thick High Density Anti-Tear Exercise Yoga Mat ,29,2, 648,Y
3.1,MahMir,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-light-blue/Z1FFBA90CF03B4E1CDF5CZ/p/?o=z1ffba90cf03b4e1cdf5cz-1,"MahMir Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Light Blue) ",29.95,3,,Y
5.0,MahMir,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-black-light-grey/ZB6A26C6FF922D524ABBAZ/p/?o=zb6a26c6ff922d524abbaz-1,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners  Black+Light Grey ,47.45,11, 59.95,
,MELA,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/mela-non-slip-yoga-mat-for-home-gym-6mm-thick-eco-friendly-tpe-cushioned-exercise-mat-with-carry-strap-perfect-for-yoga-pilates-fitness-training-gymnastics-essentials-beige/ZECB29782C8C4BD506B8EZ/p/?o=zecb29782c8c4bd506b8ez-1,"MELA MELA Non-Slip Yoga Mat for Home Gym - 6mm Thick, Eco-Friendly TPE, Cushioned Exercise Mat with Carry Strap - Perfect for Yoga, Pilates, Fitness Training, & Gymnastics Essentials  - Beige ",79,, 119,
5.0,Bernessi,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-light-pink-black-color/Z212ACDF2F7760CD34A11Z/p/?o=z212acdf2f7760cd34a11z-1,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Light Pink / Black Color ",61.25,3, 180,
4.6,MahMir,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-pink-light-grey/Z5B557BA405F39E1C40DEZ/p/?o=z5b557ba405f39e1c40dez-1,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Pink + Light Grey) ,49.95,19, 69.95,
4.4,MahMir,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-purple-pink/Z4DDA125062C7766547DDZ/p/?o=z4dda125062c7766547ddz-1,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners ( Purple + Pink) ,49.95,21, 69.95,
3.8,NNEWVANTE,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/nnewvante-silk-sleep-mask-2-pack-100-real-natural-pure-silk-eye-mask-with-adjustable-strap-eye-mask-for-sleeping-eye-sleep-shade-cover-blocks-light-reduces-puffy-eyes-gifts/Z549615CC1C4033D14D98Z/p/?o=z549615cc1c4033d14d98z-1,"NNEWVANTE Nnewvante Silk Sleep Mask, 2 Pack 100% Real Natural Pure Silk Eye Mask with Adjustable Strap, Eye Mask for Sleeping, Eye Sleep Shade Cover, Blocks Light Reduces Puffy Eyes Gifts ",23.95,3, 35.95,Y
,LYNLYN,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/1-5m-resistance-bands-for-yoga-pilates-strength-training-elastic-bands-for-flexibility-rehab-fitness-ideal-for-men-women-purple/ZC9120F5FA66B652CD3C3Z/p/?o=zc9120f5fa66b652cd3c3z-1,"LYNLYN 1.5m Resistance Bands for Yoga, Pilates, Strength Training, Elastic Bands for Flexibility, Rehab, Fitness, Ideal for Men & Women (Purple) ",29.90,, 79,Y
4.8,Spall,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/yoga-mat-non-slip-yoga-mat-with-strap-included-10mm-thick-exercise-mat-yoga-and-many-other-home-workouts/Z3859B43C495F32F447DCZ/p/?o=z3859b43c495f32f447dcz-1,"Spall Yoga Mat Non Slip,Yoga Mat with Strap Included 10mm Thick Exercise Mat Yoga and Many Other Home Workouts ",35,4, 80,
4.3,Generic,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/anti-tear-exercise-mat-with-carrying-strap/N20034889A/p/?o=abbe15bc1256030c,Generic Anti-Tear Exercise Mat With Carrying Strap ,37.50,1.5K, 239,
5.0,Spall,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/yoga-mat-non-slip-yoga-mat-with-strap-included-10mm-thick-exercise-mat-yoga-and-many-other-home-workouts/Z4247101839A17521A8B9Z/p/?o=z4247101839a17521a8b9z-1,"Spall Yoga Mat Non Slip,Yoga Mat with Strap Included 10mm Thick Exercise Mat Yoga and Many Other Home Workouts ",35,2, 80,
4.5,MahMir,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-dark-grey-black/Z83C8A1AAB21D372A0063Z/p/?o=z83c8a1aab21d372a0063z-1,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Dark Grey + Black) ,49.95,28, 69.95,
3.0,MahMir,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-black/Z64EE8D8F808FF4902AEDZ/p/?o=b582689b37574c0f,"MahMir Mahmir EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Black) ",26.70,10, 29.95,
4.4,Pro,2024-10-10,,13 Oct,https://www.noon.com//uae-en/yoga-mat-with-carry-strap/N16718791A/p/?o=c39533fe7cc97c2c,Pro Hanson Yoga Mat With Carry Strap ,26.75,508, 35,
4.4,body,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/yoga-ball-with-air-pump-85-cm-85cm/N16529624A/p/?o=c7ada602455ed8ab,body heart Yoga Ball With Air Pump - 85 cm 85cm ,31.55,63, 39.95,
4.8,Bernessi,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1,"Bernessi 8MM Yoga Mat with Carrying Strap Anti-Slip for Home Workout Exercises Meditation Eco Friendly, Non Skid TPE Yoga Mattres for Pilates 183x61x0.8cm Thick, Pink/Black Color ",69.90,51, 165,Y
,URbazaar,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1,"URbazaar Yoga Mat for Women and Men, Extra Long and Wide Exercise Mat(72""x24""), Large Non Slip Workout Mat for Yoga, Pilates, Fitness, Barefoot Workouts, Home Gym Studio ",59.90,, 69.90,Y
4.6,ORiTi,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/stretch-strap-with-exercise-guide-versatile-multi-loop-perfect-for-yoga-pilates-and-physical-therapy-portable-helps-improve-flexibility/Z184FBC1B30D0C5DACA2DZ/p/?o=z184fbc1b30d0c5daca2dz-1,ORiTi Stretch Strap with Exercise Guide Versatile Multi-Loop Perfect for Yoga Pilates and Physical Therapy Portable Helps Improve Flexibility ,28,2, 29,Y
4.6,MoKo,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/yoga-blocks-2-pack-eva-foam-yoga-exercise-bricks-3x9x5inch/N21462369A/p/?o=ff2eb3323e48878e,MoKo Yoga Blocks 2 Pack Eva Foam Yoga Exercise Bricks 3X9X5inch ,22.15,13,,
3.1,MahMir,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-light-blue/Z1FFBA90CF03B4E1CDF5CZ/p/?o=f1e97d654c981d3c,"MahMir Mahmir® EVA Foam Roller for Yoga, Deep Tissue Massage, Stretching, Physical Therapy, Relieve Stress, Improve Mobility with Foam Roller for Legs and Muscles - Deep Tissue Massage Tool (Light Blue) ",29.95,3,,
4.5,Emfil,2024-10-10,,13 Oct,https://www.noon.com//uae-en/anti-skid-yoga-mat/N16718794A/p/?o=a573f487ed6990be,Emfil Anti Skid Yoga Mat ,27,381, 32.50,
2.8,GROIC,2024-10-10,Y,,https://www.noon.com//uae-en/6-pack-puzzle-exercise-floor-mat-eva-foam-mats-with-interlocking-floor-tiles-12-x-12-foam-gym-mat-protective-flooring-mats-interlocking-for-home-and-gym-equipment/Z182933F3500879193E71Z/p/?o=z182933f3500879193e71z-1,"GROIC 6 Pack Puzzle Exercise Floor Mat, EVA Foam Mats with Interlocking Floor Tiles, 12'' x 12'' Foam Gym Mat, Protective Flooring Mats Interlocking for Home and Gym Equipment ",52.30,3, 200,
4.3,body,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/yoga-ball-with-air-pump-75-cm-75cm/N16529622A/p/?o=d15b61db501d74ba,body heart Yoga Ball With Air Pump - 75 cm 75cm ,37.85,156,,
4.5,RIGID,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/gym-cooling-towels-3-pack-ice-sensation-sweat-towel-quick-dry-microfiber-cloth-for-exercise-yoga-running-more-high-absorbency-cooling-towels-for-intense-workouts-100x30cm/Z691A3B8C08D72CA569ECZ/p/?o=cd92098fa513df5b,"RIGID FITNESS Gym Cooling Towels (3-Pack) - Ice-Sensation Sweat Towel, Quick-Dry Microfiber Cloth for Exercise, Yoga, Running & More - High-Absorbency Cooling Towels for Intense Workouts (100x30cm) ",49.75,7, 54.50,
4.0,BODY,2024-10-10,,1 HR 38 MINS,https://www.noon.com//uae-en/yoga-mat/N11005261A/p/?o=af6756758cf728ea,BODY SCULPTURE Yoga Mat ,29.55,15, 100,
4.1,body,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/yoga-ball-with-air-pump-75-cm-75cm/N16529620A/p/?o=ab7c0dd5c45dd4cb,body heart Yoga Ball With Air Pump - 75 cm 75cm ,31.60,58, 41.45,
4.4,RIGID,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/microfiber-gym-towel-face-towel-yoga-towel-quick-dry-high-absorbent-sweat-towel-for-gym-exercises-and-outdoor-thick-400gsm-75x35cm-grey/Z0BBD9C7C83B7E8DF4FD6Z/p/?o=f433e986d29277cf,"RIGID FITNESS Microfiber Gym Towel - Face Towel, Yoga Towel - Quick Dry & High Absorbent Sweat Towel For Gym Exercises and Outdoor - Thick 400Gsm - 75x35cm-Grey ",45.75,19,,
,URbazaar,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1,"URbazaar Yoga Mat for Women and Men, Extra Long and Wide Exercise Mat(72""x24""), Large Non Slip Workout Mat for Yoga, Pilates, Fitness, Barefoot Workouts, Home Gym Studio ",59.90,, 69.90,
4.5,Emfil,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/yoga-mat-blue-62-6cm/N16273364A/p/?o=c80f118bb2e7dccd,Emfil Yoga Mat Blue 62.6cm ,29.50,358, 40,
5.0,Spall,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/yoga-mat-non-slip-yoga-mat-with-strap-included-10mm-thick-exercise-mat-yoga-and-many-other-home-workouts/ZA3EF4D0BF060CAC7F4CDZ/p/?o=za3ef4d0bf060cac7f4cdz-1,"Spall Yoga Mat Non Slip,Yoga Mat with Strap Included 10mm Thick Exercise Mat Yoga and Many Other Home Workouts ",35,1, 80,
5.0,321,2024-10-10,Y,12 Oct,https://www.noon.com//uae-en/massage-foam-roller/N34146072A/p/?o=a2a03188f88022fc,321 STRONG Massage Foam Roller ,38,17,,
4.2,U-pick,2024-10-10,,"1 HR 24 MINS,1 HR 24 MINS,11 - 12 Oct","https://www.noon.com//uae-en/4-packs-cooling-towel-0-08x39-4x11-4inch/N21462859A/p/?o=e1aa16341fd9ce5e,https://www.noon.com//uae-en/4-packs-cooling-towel-0-08x39-4x11-4inch/N21462859A/p/?o=ae25c1030653795b,https://www.noon.com//uae-en/4-packs-cooling-towel-0-08x39-4x11-4inch/N21462859A/p/?o=e1aa16341fd9ce5e",U-pick 4 Packs Cooling Towel 0.08X39.4X11.4inch ,24.65,84, 30.45,
,YooA,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/3-pair-non-slip-yoga-socks-cotton-pilates-socks-with-straps-breathable-moisture-wicking-machine-washable-ideal-for-yoga-pilates-ballet-dance-workout-pink-black-grey-fit-size-36-42/Z28459E600CA113B6F24FZ/p/?o=z28459e600ca113b6f24fz-1,"YooA 3-Pair Non-slip Yoga Socks, Cotton Pilates Socks with Straps, Breathable&Moisture-wicking&Machine-washable, Ideal for Yoga/Pilates/Ballet/Dance/Workout (Pink+Black+Grey, Fit Size 36-42) ",33.80,, 50,
4.8,SKY-TOUCH,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/5-in-1-fitness-foam-roller-set-50cm/N39265708A/p/?o=a0325ea104099c8d,SKY-TOUCH 5-In-1 Fitness Foam Roller Set 50cm ,64.50,32,,
4.3,Ab,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/abdominal-trainer-wheel-roller-with-knee-mat/N16273426A/p/?o=d93d6f76441a825a,Ab Rocket Abdominal Trainer Wheel Roller With Knee Mat ,23,358, 24,
,Generic,2024-10-10,,,https://www.noon.com//uae-en/adjustable-anti-gravity-home-aerial-yoga-hammock-swing-trapeze-inversion-tool-250-150cm/N42326497A/p/?o=bb0af8063147934d,Generic Adjustable Anti-Gravity Home Aerial Yoga Hammock Swing Trapeze Inversion Tool 250*150cm ,177.05,, 520,Y
,WENBO,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/balance-trainer-with-resistance-bands-balance-board-yoga-half-ball-air-dome-balance-ball-with-pump-improve-core-and-ab-strength-with-full-body-home-gym-workouts-or-fitness-training/Z8E11327164B07C1284D1Z/p/?o=z8e11327164b07c1284d1z-1,"WENBO Balance Trainer with Resistance Bands, Balance Board, Yoga Half Ball, Air Dome Balance Ball with Pump,Improve Core and Ab Strength with Full Body Home Gym Workouts Or Fitness Training ",168.55,, 199,Y
,WENBO,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/foam-yoga-roller-for-body-muscle-relaxation-soft-box-pilates-home-gym-workout-45cm-blue/ZA28B493438BC447D6F73Z/p/?o=za28b493438bc447d6f73z-1,"WENBO Foam Yoga Roller For Body Muscle Relaxation Soft Box Pilates Home Gym Workout (45cm, Blue) ",42,, 48,Y
,MELA,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/mela-non-slip-yoga-mat-for-home-gym-6mm-thick-eco-friendly-tpe-cushioned-exercise-mat-with-carry-strap-perfect-for-yoga-pilates-fitness-training-gymnastics-essentials-grey/Z751D8E977554B1EF4AAAZ/p/?o=z751d8e977554b1ef4aaaz-1,"MELA MELA Non-Slip Yoga Mat for Home Gym - 6mm Thick, Eco-Friendly TPE, Cushioned Exercise Mat with Carry Strap - Perfect for Yoga, Pilates, Fitness Training, & Gymnastics Essentials  - Grey ",79.95,, 119,
4.7,GROIC,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/yoga-mat-non-slip-pilates-fitness-mats-anti-tear-72-x-31-5-x-0-6-thick-yoga-mats-for-women-exercise-mats-for-yoga-pilates-home-floor-workout-with-carrying-sling-and-storage-bag/Z54B10CD732976EE884EEZ/p/?o=z54b10cd732976ee884eez-1,"GROIC Yoga Mat Non Slip, Pilates Fitness Mats, Anti-Tear 72""x 31.5"" x 0.6"" Thick Yoga Mats for Women, Exercise Mats for Yoga Pilates Home Floor Workout with Carrying Sling and Storage Bag ",123.95,4, 400,
4.3,body,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/yoga-ball-with-air-pump-65-cm-65cm/N16529616A/p/?o=be578ba74d4a4a8f,body heart Yoga Ball With Air Pump - 65 cm 65cm ,37,58,,
4.0,YQbest,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/foot-massage-roller-relieve-pain-and-plantar-fasciitis-for-wrists-forearms-deep-tissue-trigger-point/Z0D592BDDCB4B2213DC9CZ/p/?o=z0d592bddcb4b2213dc9cz-1,"YQbest Foot Massage Roller Relieve Pain and Plantar Fasciitis for , Wrists Forearms Deep Tissue Trigger Point ",29.90,1, 45,
4.5,MahMir,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-dark-blue-light-blue/Z6FC94A5DBD1A7D980F19Z/p/?o=z6fc94a5dbd1a7d980f19z-1,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Dark Blue + Light Blue) ,49,24, 69.95,
5.0,Gaiam,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/6mm-premium-metallic-medallion-yoga-mat/Z1DD80AB6D2A71FB6BD5EZ/p/?o=z1dd80ab6d2a71fb6bd5ez-1,Gaiam 6Mm Premium Metallic Medallion Yoga Mat ,70,1, 200,
4.8,MahMir,2024-10-10,,16 Oct,https://www.noon.com//uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-green-black/Z5BB144BA6576302F7275Z/p/?o=z5bb144ba6576302f7275z-1,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners (Green + Black) ,49.95,7, 69.95,
4.5,RIGID,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/thick-yoga-mat-8mm-knees-supportive-exercise-mat-for-yoga-pilates-fitness-exercises-and-home-exercise-fitness-mat-non-slip-yoga-gym-mat-with-carrying-bag-183-66cm-gold-black/ZE9BC56837C893BAD2931Z/p/?o=ze9bc56837c893bad2931z-1,"RIGID FITNESS Thick Yoga Mat 8mm - Knees Supportive Exercise Mat - for Yoga, Pilates, Fitness Exercises and Home Exercise Fitness Mat - Non-Slip Yoga Gym Mat With Carrying Bag - 183*66cm (Gold/Black) ",95.50,47, 130.25,
4.0,Spall,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/yoga-mats-anti-slip-sport-fitness-mat-blanket-for-exercise-yoga-and-pilates-gymnastics-mat-fitness-equipment-6mm/ZB83DFD7A7A480B6A3D7AZ/p/?o=zb83dfd7a7a480b6a3d7az-1,Spall Yoga Mats Anti-slip Sport Fitness Mat Blanket For Exercise Yoga And Pilates Gymnastics Mat Fitness Equipment 6mm ,37,1, 50,
5.0,MahMir,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/mahmir-yoga-cork-block-supportive-sustainable-cork-with-non-slip-surface-exercise-accessory-for-yoga-pilates-and-general-fitness-natural-cork-blocks-size-9-x6-x3-2pcs-pack/ZB6E61CE23B29DAF85955Z/p/?o=fae71ce02e9b7d0e,"MahMir MahMir® Yoga Cork Block – Supportive, Sustainable Cork with Non-Slip Surface, Exercise Accessory for Yoga, Pilates, and General Fitness, Natural Cork Blocks Size 9""x6""x3"" (2pcs pack) ",59.95,3, 69.95,
,Gaiam,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/6mm-chakra-yoga-mat/ZCA0E13269DA7F7B4F851Z/p/?o=zca0e13269da7f7b4f851z-1,Gaiam 6Mm Chakra Yoga Mat ,84,, 240,
4.3,MahMir,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/mahmir-yoga-mat-anti-slip-exercise-mat-with-carrying-bag-fitness-mat-for-pilates-183cm-61cm-6mm-thickness-for-woman-man-beginners-light-green-black/ZC7C1017CDFCAC890274CZ/p/?o=zc7c1017cdfcac890274cz-1,MahMir MahMir Yoga Mat Anti-Slip Exercise Mat with Carrying Bag Fitness Mat for Pilates 183CM*61CM*6MM Thickness for Woman Man Beginners  Light Green+Black ,49.95,27, 69.95,
,YooA,2024-10-10,Y,11 - 12 Oct,https://www.noon.com//uae-en/3-pair-non-slip-yoga-socks-cotton-pilates-socks-with-3d-silicone-particles-breathable-moisture-wicking-machine-washable-ideal-for-yoga-pilates-ballet-dance-workout-pink-black-grey-fit-size-36-42/ZA1B269ACFAC7EFA4C86AZ/p/?o=za1b269acfac7efa4c86az-1,"YooA 3-Pair Non-slip Yoga Socks, Cotton Pilates Socks with 3D Silicone Particles, Breathable&Moisture-wicking&Machine-washable, Ideal for Yoga/Pilates/Ballet/Dance/Workout (Pink+Black+Grey, Fit Size 36-42) ",42.80,, 60,
5.0,LIMOS,2024-10-10,,1 HR 24 MINS,https://www.noon.com//uae-en/sports-yoga-socks-for-women-pack-of-3-pairs/Z8DE7372A006C4309D78BZ/p/?o=e7de247caff55d2e,LIMOS Sports Yoga Socks for Women Pack Of 3 Pairs ,39,8,,
